starting slam
[INFO] [1746827972.088807]: [run_auto] Mapping - drive the vehicle, Ctrl-C when done …
est:  [0.03753467756845119, -4.33902914004528e-06, -0.0003457103459335054]
act:  [0.034023382740993036, 0.02296539629224581, 0.007000000000000117]
est:  [0.03753467756845119, -4.33902914004528e-06, 0.0010083909652663248]
act:  [0.0357336373225543, 0.024002232473254947, 0.004999999999999893]
est:  [0.03753467756845119, -4.33902914004528e-06, -0.0004710185786115013]
act:  [0.02803749170552905, 0.019336469658714384, 0.004999999999999893]
est:  [0.03753467756845119, -4.33902914004528e-06, -0.0003826618734816486]
act:  [0.02513540063291142, 0.016407670005915698, 0.004999999999999893]
est:  [0.03753467756845119, -4.33902914004528e-06, -0.00032484534240378787]
act:  [0.021714891469789777, 0.014333997643897645, 0.0009999999999998899]
est:  [0.03753467756845119, -4.33902914004528e-06, -0.00047999876904044025]
act:  [0.0208597641790087, 0.013815579553392965, -0.0129999999999999]
est:  [0.03753467756845119, -4.33902914004528e-06, -0.0004971597337862307]
act:  [0.026327237123967784, 0.018299633477705246, 0.004999999999999893]
est:  [0.05177664381160234, -1.0104113410515774e-05, -0.0004047955076677085]
act:  [0.04941567397504265, 0.03229692192132738, -0.0009999999999998899]
est:  [0.05738517473104034, -1.076292382217615e-05, -0.00011746577100019904]
act:  [0.07455107460795318, 0.0487045919272433, 0.0]
est:  [0.05738517473104034, -1.076292382217615e-05, 0.00038078737924262753]
act:  [0.07882671106185635, 0.051296682379766034, 0.0009999999999998899]
est:  [0.046899048270488096, -1.4375532473868377e-05, 0.0003445131548199883]
act:  [0.07540620189873426, 0.04922301001774798, 0.0]
est:  [0.046899048270488096, -1.4375532473868377e-05, 0.0005492508861629962]
act:  [0.06599980170014863, 0.04352041102219828, -0.0019999999999997797]
est:  [0.046899048270488096, -1.4375532473868377e-05, 0.0006706471863146329]
act:  [0.060013910664684644, 0.03989148438866663, 0.0009999999999998899]
est:  [0.046899048270488096, -1.4375532473868377e-05, 0.0006478958479615686]
act:  [0.060013910664684644, 0.03989148438866663, 0.0009999999999998899]
est:  [0.046899048270488096, -1.4375532473868377e-05, 0.0006219072913751893]
act:  [0.06599980170014863, 0.04352041102219828, -0.005999999999999783]
est:  [0.05273301638013991, -1.0625910485424646e-05, 0.0006427223120961807]
act:  [0.0805369656434185, 0.05233351856077495, -0.004999999999999893]
est:  [0.07390960964575387, 4.443017699733848e-06, 0.0007115840330292323]
act:  [0.09797622065930467, 0.06407542575215053, -0.0040000000000000036]
est:  [0.08445276824639181, 1.4150566037433937e-05, 0.0009207435799989336]
act:  [0.13251802149080172, 0.0861856947536157, -0.0040000000000000036]
est:  [0.13282764836961447, -0.00013374067052339205, -0.0030571812361234064]
act:  [0.16962520419464022, 0.10985121802659514, -0.008000000000000007]
est:  [0.20135466832607868, -0.0005640664131445807, -0.006279568067286042]
act:  [0.22160626004202433, 0.14370339421943656, -0.005999999999999783]
