0.0,0.0,0.0
0.2,0.0,0.189046
0.4,0.1,0.351819
0.6,0.2,0.463369
0.8,0.2,0.220017
1.0,0.3,0.183137
1.2,0.3,0.020365
1.4,0.3,-0.222988
1.6,0.2,0.020365
1.8,0.2,0.008083
2.0,0.2,0.020365
2.2,0.2,0.008083
2.4,0.2,0.020365
2.6,0.2,-0.06608
2.8,0.2,0.020365
3.0,0.2,0.008083
3.2,0.2,0.020365
3.4,0.2,-0.06608
3.6,0.2,0.096693
3.8,0.3,0.108975
4.0,0.3,0.096693
4.2,0.3,0.010248
4.3,0.3,0.199295
4.5,0.4,0.442647
4.7,0.5,0.631693
4.9,0.6,0.875046
5.0,0.8,1.064092
5.0,1.0,1.253139
5.1,1.2,1.496491
5.1,1.4,1.659264
5.1,1.6,1.572819
5.1,1.8,1.585101
5.1,2.0,1.572819
5.1,2.2,1.585101
5.1,2.4,1.572819
5.1,2.6,1.585101
5.1,2.8,1.572819
5.1,3.0,1.585101
5.1,3.2,1.572819
5.1,3.4,1.585101
5.1,3.6,1.572819
5.1,3.8,1.585101
5.1,4.0,1.572819
5.1,4.2,1.585101
5.1,4.4,1.572819
5.1,4.6,1.585101
5.1,4.8,1.572819
5.0,5.0,1.585101
5.0,5.2,1.572819
5.0,5.4,1.585101
5.0,5.6,1.572819
5.0,5.8,1.585101
5.0,6.0,1.572819
5.0,6.2,1.585101
5.0,6.4,1.572819
5.0,6.6,1.585101
5.0,6.8,1.572819
5.0,7.0,1.585101
5.0,7.2,1.572819
5.0,7.4,1.585101
5.0,7.6,1.572819
5.0,7.8,1.585101
5.0,8.0,1.572819
5.0,8.2,1.585101
5.0,8.4,1.572819
5.0,8.6,1.585101
5.0,8.8,1.572819
5.0,9.0,1.585101
5.0,9.2,1.572819
5.0,9.4,1.659264
